,winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_KD,delta_sig_str_pct,delta_total_str_pct,delta_TD_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs
20,JOSELYNE EDWARDS,TAMIRES VIDAL,19/10/2024,Submission,3.0,4:33,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,11.0,12.99,57.0,2.0,0.0,115.0,16.97,12.63,1.95,12.62,6.82,73.33,15.0,-2.0,-13.0,2.0,-15.0,13.0,,,,,,,,,,
21,ELISE REED,JESSICA PENNE,19/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,19.0,18.52,-7.0,0.0,0.0,-166.0,28.72,22.74,-28.41,21.48,23.08,0.0,23.0,-18.0,-6.0,13.0,-13.0,0.0,,,,,,,,,,
22,MELISSA MARTINEZ,ALICE ARDELEAN,19/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",,,red,0.0,8.0,8.74,0.0,0.0,0.0,-41.0,3.71,-9.36,5.77,8.67,-50.0,0.0,-19.0,9.0,10.0,2.0,-1.0,0.0,,,,,,,,,,
33,JULIA POLASTRI,CORY MCKENNA,12/10/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,28.0,20.46,-16.0,0.0,0.0,-127.0,16.69,14.74,-7.14,22.24,19.55,50.0,-30.0,24.0,4.0,-26.0,24.0,2.0,,,,,,,,,,
37,JULIANNA PENA,RAQUEL PENNINGTON,05/10/2024,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Bantamweight Title Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Orthodox,Orthodox,blue,-1.0,6.0,7.48,66.0,1.0,0.0,307.0,12.48,-6.06,14.29,6.59,-16.67,0.0,28.0,-22.0,-5.0,2.0,-2.0,0.0,-2.54,5.08,-0.82,-1.0,-1.5,-10.0,1.37,25.0,-42.0,0.1
40,KAYLA HARRISON,KETLEN VIEIRA,05/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",,Orthodox,blue,0.0,19.0,3.73,25.0,0.0,0.0,474.0,17.7,60.83,-22.22,1.79,-11.76,77.78,11.0,9.0,-21.0,-53.0,15.0,38.0,,,,,,,,,,
42,IASMIN LUCINDO,MARINA RODRIGUEZ,05/10/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",,Orthodox,blue,0.0,8.0,4.37,-25.0,0.0,1.0,269.0,2.47,-2.2,50.0,9.28,-26.67,0.0,-21.0,15.0,6.0,6.0,-6.0,0.0,,,,,,,,,,
46,TECIA PENNINGTON,CARLA ESPARZA,05/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",,Orthodox,blue,0.0,22.0,2.68,-57.0,0.0,0.0,-220.0,3.64,25.0,-10.87,22.82,62.5,-60.0,-41.0,3.0,39.0,9.0,6.0,-15.0,,,,,,,,,,
58,AILIN PEREZ,DARIA ZHELEZNIAKOVA,28/09/2024,Submission,1.0,3:52,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",,,red,0.0,17.0,24.34,-50.0,1.0,0.0,63.0,31.43,-50.0,50.0,1.14,100.0,0.0,-9.0,-20.0,28.0,-38.0,14.0,22.0,,,,,,,,,,
60,JACQUELINE CAVALCANTI,NORA CORNOLLE,28/09/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",,,blue,0.0,-12.0,-6.43,-11.0,0.0,1.0,-167.0,0.85,6.09,-20.98,-10.28,6.58,0.0,24.0,-9.0,-15.0,13.0,-13.0,0.0,,,,,,,,,,
63,VALENTINA SHEVCHENKO,ALEXA GRASSO,14/09/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Flyweight Title Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,38.0,20.38,41.0,-2.0,0.0,915.0,42.71,30.0,56.25,37.84,0.0,-33.33,40.0,-10.0,-30.0,-2.0,-1.0,3.0,0.0,0.0,-1.98,7.0,-1.58,-2.0,1.93,18.0,15.0,-0.3
67,NORMA DUMONT,IRENE ALDANA,14/09/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,14.0,13.76,0.0,0.0,0.0,-5.0,6.45,28.78,28.07,13.93,8.33,0.0,-13.0,4.0,8.0,1.0,-1.0,0.0,-5.08,-2.54,-0.17,17.0,-3.32,11.0,2.2,-8.0,16.0,-0.1
69,KETLEN SOUZA,YAZMIN JAUREGUI,14/09/2024,Submission,1.0,3:02,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",,,blue,1.0,13.0,12.05,0.0,1.0,0.0,15.0,13.38,5.71,18.18,9.39,0.0,50.0,6.0,6.0,-11.0,-6.0,5.0,2.0,,,,,,,,,,
73,NATALIA SILVA,JESSICA ANDRADE,07/09/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,21.0,15.88,0.0,0.0,0.0,-82.0,15.42,19.44,33.33,18.52,50.0,100.0,-9.0,6.0,2.0,-6.0,3.0,1.0,7.62,,-6.38,-49.0,-5.26,-53.0,-3.11,-57.0,-76.0,-0.4
81,JAQUELINE AMORIM,VANESSA DEMOPOULOS,07/09/2024,Submission,1.0,3:28,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,33.0,32.14,100.0,1.0,0.0,185.0,100.0,-16.67,0.0,16.67,0.0,100.0,50.0,-50.0,0.0,-50.0,0.0,50.0,,,,,,,,,,
85,TABATHA RICCI,ANGELA HILL,24/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,-9.0,-7.14,75.0,0.0,0.0,294.0,-5.28,-8.95,0.0,-8.17,-1.65,-12.5,23.0,-31.0,8.0,9.0,-7.0,-2.0,,,,,,,,,,
93,JACQUELINE CAVALCANTI,JOSIANE NUNES,24/08/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",,,red,0.0,20.0,19.23,0.0,0.0,0.0,-8.0,14.99,0.0,-6.06,19.66,0.0,-50.0,-10.0,-9.0,19.0,4.0,0.0,-3.0,,,,,,,,,,
94,WANG CONG,VICTORIA LEONARDO,24/08/2024,KO/TKO,1.0,1:02,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",,Orthodox,red,1.0,27.0,27.35,0.0,0.0,0.0,2.0,25.0,20.0,0.0,27.35,0.0,0.0,40.0,10.0,-50.0,0.0,0.0,0.0,,,,,,,,,,
102,CASEY O'NEILL,LUANA SANTOS,17/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",,,red,0.0,1.0,4.68,-20.0,1.0,0.0,0.0,2.14,4.34,0.0,-4.64,71.43,100.0,9.0,-10.0,1.0,-17.0,6.0,10.0,,,,,,,,,,
111,YANA SANTOS,CHELSEA CHANDLER,10/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",,,red,1.0,24.0,24.55,0.0,0.0,0.0,-101.0,17.28,2.47,96.3,28.75,12.8,0.0,-24.0,-4.0,27.0,10.0,-10.0,0.0,,,,,,,,,,
113,KAROL ROSA,PANNIE KIANZAD,10/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,10.0,2.52,50.0,0.0,0.0,264.0,12.45,14.82,-20.54,8.51,16.94,100.0,-1.0,-15.0,16.0,-4.0,3.0,0.0,-5.08,2.54,2.59,3.0,1.89,-9.0,1.78,46.0,7.0,-0.2
116,STEPHANIE LUCIANO,TALITA ALENCAR,10/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",,,red,1.0,14.0,17.49,-10.0,0.0,0.0,32.0,15.25,27.28,-7.14,13.99,15.87,100.0,20.0,-20.0,0.0,4.0,-6.0,1.0,,,,,,,,,,
121,MACKENZIE DERN,LOOPY GODINEZ,03/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,,red,0.0,-10.0,-3.54,-26.0,-1.0,-1.0,64.0,-6.34,13.76,-19.04,-8.8,-15.0,0.0,17.0,-17.0,0.0,5.0,-5.0,0.0,,,,,,,,,,
127,SAM HUGHES,VIKTORIIA DUDAKOVA,03/08/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,,blue,0.0,8.0,5.66,-30.0,0.0,0.0,-144.0,7.33,-8.27,0.0,8.04,8.78,100.0,-6.0,0.0,7.0,7.0,-12.0,5.0,,,,,,,,,,
136,BRUNA BRASIL,MOLLY MCCANN,27/07/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",,Orthodox,blue,0.0,2.0,-4.22,72.0,0.0,1.0,124.0,-6.52,18.34,-16.67,3.29,-11.11,-55.56,-14.0,16.0,-2.0,-15.0,12.0,3.0,,,,,,,,,,
143,SHAUNA BANNON,ALICE ARDELEAN,27/07/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",,,red,0.0,-9.0,2.37,-50.0,0.0,0.0,-344.0,-13.03,-5.56,-4.76,-7.04,-20.0,-80.0,-16.0,11.0,6.0,7.0,0.0,-7.0,,,,,,,,,,
144,VIRNA JANDIROBA,AMANDA LEMOS,20/07/2024,Submission,2.0,4:48,5 Rnd (5-5-5-5-5),Women's Strawweight Bout,UFC Fight Night: Lemos vs. Jandiroba,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,3.0,32.4,20.0,3.0,0.0,336.0,3.57,0.0,0.0,12.5,0.0,-100.0,0.0,0.0,0.0,50.0,0.0,-50.0,-2.54,-2.54,-3.82,-18.0,-2.31,9.0,1.18,-47.0,-27.0,1.5
151,MIRANDA MAVERICK,DIONE BARBOSA,20/07/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Lemos vs. Jandiroba,"Las Vegas, Nevada, USA",Southpaw,,red,0.0,-6.0,-1.03,-10.0,-1.0,0.0,438.0,-24.07,21.67,-22.22,-8.13,0.0,55.56,-60.0,19.0,42.0,-14.0,-3.0,16.0,,,,,,,,,,
153,LUANA CAROLINA,LUCIE PUDILOVA,20/07/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Lemos vs. Jandiroba,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,19.0,14.53,-50.0,0.0,0.0,-84.0,15.48,-3.86,43.87,22.38,7.81,0.0,-11.0,-13.0,23.0,15.0,-15.0,0.0,-5.08,5.08,2.14,14.0,-0.34,-5.0,-0.16,-12.0,39.0,1.8
155,ROSE NAMAJUNAS,TRACY CORTEZ,13/07/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Women's Flyweight Bout,UFC Fight Night: Namajunas vs. Cortez,"Denver, Colorado, USA",Orthodox,Orthodox,red,1.0,24.0,18.87,60.0,0.0,0.0,338.0,26.07,2.65,24.44,25.63,-6.67,0.0,15.0,-7.0,-9.0,7.0,-7.0,0.0,0.0,0.0,0.46,-13.0,2.0,-2.0,-1.09,11.0,-35.0,0.8
161,JASMINE JASUDAVICIUS,FATIMA KLINE,13/07/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Namajunas vs. Cortez,"Denver, Colorado, USA",,,red,0.0,-4.0,5.3,-34.0,1.0,0.0,416.0,-5.38,-33.33,0.0,-6.02,-8.33,-30.77,-20.0,10.0,10.0,-17.0,3.0,15.0,,,,,,,,,,
163,LUANA SANTOS,MARIYA AGAPOVA,13/07/2024,Submission,1.0,3:27,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Namajunas vs. Cortez,"Denver, Colorado, USA",,Southpaw,red,0.0,29.0,10.48,100.0,3.0,0.0,143.0,30.0,0.0,-28.57,28.57,0.0,0.0,67.0,0.0,-66.0,0.0,0.0,0.0,,,,,,,,,,
169,MACY CHIASSON,MAYRA BUENO SILVA,29/06/2024,TKO - Doctor's Stoppage,2.0,1:58,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,-19.0,-15.65,100.0,0.0,0.0,29.0,-24.83,-9.66,33.33,-23.31,-13.74,0.0,2.0,-17.0,16.0,-1.0,-14.0,16.0,12.7,15.24,0.1,-8.0,-2.72,-1.0,0.98,21.0,-9.0,-1.1
175,GILLIAN ROBERTSON,MICHELLE WATERSON-GOMEZ,29/06/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 303: Pereira vs. Prochazka 2,"Las Vegas, Nevada, USA",Orthodox,,blue,0.0,33.0,23.54,-67.0,2.0,0.0,735.0,31.7,66.67,-50.0,17.35,-75.0,0.9,-3.0,7.0,-3.0,-30.0,-14.0,45.0,,,,,,,,,,
197,GABRIELLA FERNANDES,CARLI JUDICE,15/06/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Perez vs. Taira,"Las Vegas, Nevada, USA",,,blue,0.0,-2.0,-2.48,-25.0,0.0,0.0,96.0,1.13,7.64,-18.18,-2.67,-6.33,0.0,9.0,-7.0,-3.0,-9.0,9.0,0.0,,,,,,,,,,
200,JOSEFINE KNUTSSON,JULIA POLASTRI,15/06/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Perez vs. Taira,"Las Vegas, Nevada, USA",,,red,0.0,-2.0,-3.07,-100.0,-1.0,1.0,-231.0,-6.47,6.57,19.29,2.3,13.16,-12.0,-5.0,-4.0,10.0,20.0,5.0,-26.0,,,,,,,,,,
210,MONTANA DE LA ROSA,ANDREA LEE,08/06/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Cannonier vs. Imavov,"Louisville, Kentucky, USA",Orthodox,Orthodox,blue,0.0,-11.0,-14.49,50.0,1.0,-2.0,1.0,0.03,-22.96,-3.57,-6.45,-50.0,42.86,26.0,-21.0,-5.0,11.0,-10.0,-1.0,2.54,-2.54,-2.73,-13.0,-0.44,-20.0,0.47,-17.0,0.0,0.7
212,DENISE GOMES,EDUARDA MOURA,08/06/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Cannonier vs. Imavov,"Louisville, Kentucky, USA",,,blue,0.0,18.0,33.55,-19.0,1.0,2.0,-256.0,11.3,-6.67,-25.0,20.9,-6.06,-16.67,-28.0,22.0,7.0,-4.0,7.0,-1.0,,,,,,,,,,
214,PUJA TOMAR,RAYANNE DOS SANTOS,08/06/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Cannonier vs. Imavov,"Louisville, Kentucky, USA",,,blue,0.0,-9.0,-7.81,0.0,0.0,0.0,-38.0,-25.2,21.71,-9.53,-6.41,-63.33,0.0,-25.0,18.0,7.0,4.0,-4.0,0.0,,,,,,,,,,
225,AILIN PEREZ,JOSELYNE EDWARDS,01/06/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 302: Makhachev vs. Poirier,"Newark, New Jersey, USA",,Orthodox,red,1.0,25.0,2.1,54.0,-1.0,-2.0,-53.0,32.82,21.81,-3.59,13.87,66.67,0.0,5.0,6.0,-11.0,-31.0,16.0,16.0,,,,,,,,,,
231,ANGELA HILL,LUANA PINHEIRO,18/05/2024,Submission,2.0,4:12,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Barboza vs. Murphy,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,7.0,10.39,19.0,1.0,1.0,182.0,8.12,10.0,-100.0,1.8,66.67,80.0,3.0,15.0,-17.0,-13.0,-1.0,14.0,2.54,5.08,2.09,10.0,3.55,-14.0,0.45,36.0,76.0,0.1
234,MELISSA GATTO,TAMIRES VIDAL,18/05/2024,KO/TKO,3.0,0:37,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Barboza vs. Murphy,"Las Vegas, Nevada, USA",Orthodox,,blue,0.0,6.0,-2.14,100.0,0.0,0.0,365.0,10.0,-20.0,-50.0,5.0,-80.0,100.0,-3.0,40.0,-37.0,-20.0,-3.0,23.0,,,,,,,,,,
236,ARIANE CARNELOSSI,PIERA RODRIGUEZ,18/05/2024,DQ,2.0,3:16,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Barboza vs. Murphy,"Las Vegas, Nevada, USA",Orthodox,,blue,-1.0,-17.0,1.69,-50.0,0.0,0.0,-233.0,-16.35,25.0,25.0,-8.76,-17.95,-87.5,-4.0,-3.0,6.0,20.0,-2.0,-17.0,,,,,,,,,,
238,VANESSA DEMOPOULOS,EMILY DUCOTE,18/05/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Barboza vs. Murphy,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,-29.0,-26.92,0.0,0.0,0.0,-46.0,-26.93,-12.62,-8.78,-29.67,75.0,-100.0,9.0,1.0,-11.0,0.0,2.0,-2.0,,,,,,,,,,
247,TABATHA RICCI,TECIA PENNINGTON,11/05/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Lewis vs. Nascimento,"St. Louis, Missouri, USA",,,red,0.0,1.0,10.71,10.0,0.0,0.0,311.0,-2.51,4.51,-22.49,-0.71,36.54,0.0,-21.0,9.0,12.0,1.0,-1.0,0.0,,,,,,,,,,
250,VERONICA HARDY,JJ ALDRICH,11/05/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Lewis vs. Nascimento,"St. Louis, Missouri, USA",,Southpaw,blue,0.0,4.0,11.06,0.0,0.0,0.0,-308.0,-0.58,-22.73,91.67,12.21,-22.22,-57.14,-9.0,-21.0,30.0,28.0,-13.0,-14.0,,,,,,,,,,
257,IASMIN LUCINDO,KAROLINA KOWALKIEWICZ,04/05/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 301: Pantoja vs. Erceg,"Rio de Janeiro, Rio de Janeiro, Brazil",,Orthodox,blue,0.0,24.0,23.69,33.0,0.0,0.0,356.0,29.71,13.96,25.0,17.25,5.55,100.0,23.0,-8.0,-15.0,-27.0,11.0,15.0,,,,,,,,,,
261,DIONE BARBOSA,ERNESTA KARECKAITE,04/05/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC 301: Pantoja vs. Erceg,"Rio de Janeiro, Rio de Janeiro, Brazil",,,red,0.0,21.0,24.71,-82.0,1.0,-2.0,26.0,12.15,29.02,37.14,17.44,0.0,65.22,-20.0,20.0,-1.0,1.0,4.0,-5.0,,,,,,,,,,
266,KARINE SILVA,ARIANE DA SILVA,27/04/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Nicolau vs. Perez,"Las Vegas, Nevada, USA",,,blue,0.0,-15.0,-14.0,83.0,0.0,0.0,326.0,-4.84,-47.74,18.1,-14.66,-22.73,-8.33,1.0,-19.0,18.0,4.0,-12.0,7.0,,,,,,,,,,
273,KETLEN SOUZA,MARNIC MANN,27/04/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Nicolau vs. Perez,"Las Vegas, Nevada, USA",,,blue,0.0,28.0,0.64,10.0,-1.0,0.0,17.0,34.56,34.85,35.71,29.26,-22.22,50.0,22.0,19.0,-41.0,-2.0,2.0,-1.0,,,,,,,,,,
275,IVANA PETROVIC,LIANG NA,27/04/2024,Submission,3.0,1:29,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Nicolau vs. Perez,"Las Vegas, Nevada, USA",,,red,0.0,3.0,12.27,25.0,1.0,0.0,166.0,20.91,-10.91,-85.71,-23.68,25.0,72.22,44.0,-19.0,-25.0,-73.0,1.0,72.0,,,,,,,,,,
278,ZHANG WEILI,YAN XIAONAN,13/04/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Strawweight Title Bout,UFC 300: Pereira vs. Hill,"Las Vegas, Nevada, USA",Switch,Orthodox,red,-1.0,17.0,15.36,-34.0,2.0,-1.0,624.0,35.59,1.75,-47.37,6.09,25.0,-3.45,31.0,3.0,-33.0,-23.0,-3.0,27.0,-2.54,0.0,-0.04,3.0,0.8,-10.0,0.26,-52.0,25.0,0.5
284,KAYLA HARRISON,HOLLY HOLM,13/04/2024,Submission,2.0,1:47,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 300: Pereira vs. Hill,"Las Vegas, Nevada, USA",,Southpaw,blue,0.0,55.0,33.55,40.0,1.0,0.0,276.0,58.59,66.67,100.0,30.0,100.0,29.25,40.0,-43.0,1.0,-39.0,5.0,32.0,,,,,,,,,,
287,JESSICA ANDRADE,MARINA RODRIGUEZ,13/04/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 300: Pereira vs. Hill,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,14.0,17.36,100.0,-1.0,0.0,233.0,-2.0,24.84,1.92,12.88,-19.69,75.0,-46.0,5.0,41.0,-5.0,1.0,3.0,-12.7,-7.62,1.52,-1.0,2.1,0.0,2.75,24.0,17.0,0.2
297,NORMA DUMONT,GERMAINE DE RANDAMIE,06/04/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Allen vs. Curtis 2,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-11.0,-7.75,75.0,0.0,0.0,463.0,-4.76,-16.07,-50.0,-13.33,-5.56,66.67,11.0,2.0,-12.0,-14.0,-5.0,18.0,-5.08,-10.16,2.63,9.0,0.51,7.0,2.43,42.0,31.0,-0.4
301,NORA CORNOLLE,MELISSA MULLINS,06/04/2024,KO/TKO,2.0,3:06,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Allen vs. Curtis 2,"Las Vegas, Nevada, USA",,,blue,1.0,25.0,25.86,-25.0,0.0,1.0,-290.0,17.85,9.8,100.0,22.66,8.33,100.0,-34.0,18.0,16.0,-29.0,23.0,5.0,,,,,,,,,,
302,MANON FIOROT,ERIN BLANCHFIELD,30/03/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Women's Flyweight Bout,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",Orthodox,,blue,0.0,14.0,14.79,25.0,-1.0,0.0,5.0,19.39,9.5,-4.67,14.85,-1.54,0.0,22.0,-9.0,-13.0,2.0,-2.0,0.0,,,,,,,,,,
309,VIRNA JANDIROBA,LOOPY GODINEZ,30/03/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Blanchfield vs. Fiorot,"Atlantic City, New Jersey, USA",Orthodox,,red,0.0,-13.0,4.68,22.0,3.0,0.0,283.0,-4.65,-41.07,-100.0,-8.29,-63.64,-50.0,25.0,-18.0,-5.0,22.0,-18.0,-2.0,,,,,,,,,,
315,ROSE NAMAJUNAS,AMANDA RIBAS,23/03/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Women's Flyweight Bout,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,19.0,20.08,-17.0,0.0,1.0,321.0,16.29,28.09,24.24,16.68,33.33,-60.0,2.0,25.0,-26.0,-4.0,8.0,-3.0,5.08,-2.54,-0.12,-4.0,2.2,-11.0,-0.4,-5.0,-35.0,-0.8
325,DARIA ZHELEZNIAKOVA,MONTSERRAT RENDON,23/03/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Ribas vs. Namajunas,"Las Vegas, Nevada, USA",,,blue,0.0,21.0,24.74,-50.0,0.0,0.0,-323.0,14.62,47.64,-100.0,17.17,100.0,0.0,-13.0,20.0,-8.0,-11.0,10.0,0.0,,,,,,,,,,
