,winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_KD,delta_sig_str_pct,delta_total_str_pct,delta_TD_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs
3657,VIVIANE PEREIRA,JAMIE MOYLE,03/06/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 212: Aldo vs. Holloway,"Rio de Janeiro, Rio de Janeiro, Brazil",Orthodox,Orthodox,red,0.0,-13.0,-9.27,0.0,0.0,0.0,104.0,1.12,-32.35,-4.21,-9.69,-21.25,-37.5,37.0,-23.0,-15.0,8.0,-9.0,0.0,0.0,-5.08,-1.81,-21.0,0.48,-7.0,-0.75,79.0,-22.0,0.2
3673,JOANNA JEDRZEJCZYK,JESSICA ANDRADE,13/05/2017,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Strawweight Title Bout,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",Orthodox,Orthodox,red,0.0,25.0,23.56,-20.0,0.0,0.0,-195.0,16.58,34.92,11.15,30.29,9.57,-100.0,-17.0,3.0,13.0,16.0,-14.0,-1.0,12.7,7.62,-0.08,-1.0,-2.18,11.0,-2.83,5.0,5.0,-0.3
3680,CORTNEY CASEY,JESSICA AGUILAR,13/05/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 211: Miocic vs. Dos Santos,"Dallas, Texas, USA",Orthodox,Orthodox,blue,0.0,-18.0,-19.49,-80.0,0.0,0.0,-307.0,-10.79,-2.38,-9.53,-21.36,2.77,-0.4,20.0,-9.0,-12.0,6.0,3.0,-9.0,10.16,10.16,-0.6,-12.0,-3.0,-1.0,-0.66,2.0,-12.0,0.4
3692,DANIELLE TAYLOR,JESSICA PENNE,22/04/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",Orthodox,Orthodox,blue,0.0,2.0,2.53,-50.0,0.0,0.0,-29.0,3.29,1.07,35.71,5.53,-18.12,0.0,6.0,-29.0,24.0,14.0,-14.0,0.0,-12.7,-17.78,0.29,-4.0,-1.42,23.0,-1.38,-5.0,50.0,-0.4
3693,ALEXIS DAVIS,CINDY DANDOIS,22/04/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",Orthodox,Orthodox,red,0.0,9.0,12.73,-55.0,2.0,1.0,-236.0,-3.34,5.95,39.01,9.09,55.56,-8.57,-31.0,21.0,11.0,9.0,0.0,-10.0,-2.54,,1.05,15.0,0.78,-3.0,-4.06,-15.0,34.0,0.8
3697,ROSE NAMAJUNAS,MICHELLE WATERSON-GOMEZ,15/04/2017,Submission,2.0,2:47,3 Rnd (5-5-5),Women's Strawweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",Orthodox,,red,1.0,-1.0,-5.33,0.0,1.0,1.0,223.0,30.96,-20.0,-42.86,-31.19,0.0,-15.38,67.0,-12.0,-55.0,-67.0,1.0,66.0,,,,,,,,,,
3708,KETLEN VIEIRA,ASHLEE EVANS-SMITH,15/04/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",Orthodox,Orthodox,blue,0.0,-5.0,-9.09,20.0,0.0,0.0,241.0,10.54,7.35,11.43,-4.68,0.28,100.0,49.0,-10.0,-40.0,4.0,-5.0,1.0,0.0,2.54,-1.88,2.0,-0.85,-2.0,1.09,25.0,26.0,0.5
3711,CYNTHIA CALVILLO,PEARL GONZALEZ,08/04/2017,Submission,3.0,3:45,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",Orthodox,Orthodox,red,0.0,-4.0,-1.87,34.0,2.0,0.0,245.0,-9.15,26.19,0.0,-2.45,0.0,0.0,-23.0,27.0,-2.0,5.0,-3.0,0.0,0.0,,1.95,4.0,-0.55,10.0,0.81,33.0,71.0,0.6
3720,KATLYN CERMINARA,IRENE ALDANA,08/04/2017,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",,Orthodox,red,0.0,1.0,0.74,0.0,0.0,0.0,18.0,-2.4,-11.35,13.78,1.05,0.0,0.0,-11.0,15.0,-4.0,3.0,-3.0,0.0,,,,,,,,,,
3732,LINA LANSBERG,LUCIE PUDILOVA,18/03/2017,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Manuwa vs. Anderson,"London, England, United Kingdom",Orthodox,Orthodox,red,0.0,7.0,0.42,14.0,0.0,0.0,287.0,0.25,-5.71,-7.69,5.44,-12.54,0.0,-25.0,12.0,13.0,-12.0,7.0,5.0,-2.54,-5.08,-1.39,21.0,-0.39,-8.0,0.55,21.0,-11.0,-0.5
