,winner_winner_name,winner_loser_name,winner_event_date,winner_method,winner_round,winner_time,winner_time_format,winner_bout_type,winner_event_name,winner_event_location,winner_winner_stance,winner_loser_stance,winner_winner,winner_delta_KD,winner_delta_sig_str_pct,winner_delta_total_str_pct,winner_delta_TD_pct,winner_delta_sub_att,winner_delta_rev,winner_delta_ctrl,winner_delta_sig_str_head_acc_pct,winner_delta_sig_str_body_acc_pct,winner_delta_sig_str_leg_acc_pct,winner_delta_sig_str_distance_acc_pct,winner_delta_sig_str_clinch_acc_pct,winner_delta_sig_str_ground_acc_pct,winner_delta_sig_str_head_tar_pct,winner_delta_sig_str_body_tar_pct,winner_delta_sig_str_leg_tar_pct,winner_delta_sig_str_distance_pos_pct,winner_delta_sig_str_clinch_pos_pct,winner_delta_sig_str_ground_pos_pct,winner_delta_height,winner_delta_reach,winner_delta_slpm_cs,winner_delta_str_acc_cs,winner_delta_sapm_cs,winner_delta_str_def_cs,winner_delta_td_avg_cs,winner_delta_td_acc_cs,winner_delta_td_def_cs,winner_delta_sub_avg_cs,winner_Unnamed: 0,winner_fighter_name,winner_Height,winner_Weight,winner_Reach,winner_SLpM,winner_Str_Acc,winner_SApM,winner_Str_Def,winner_TD_Avg,winner_TD_Acc,winner_TD_Def,winner_Sub_Avg,winner_Stance_Open Stance,winner_Stance_Orthodox,winner_Stance_Southpaw,winner_Stance_Switch,winner_Age,winner_Female
964,neil magny,anthony rocco martin,06/06/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,13.0,12.53,-50.0,0.0,0.0,-158.0,5.72,-15.0,-2.5,7.45,34.12,0.0,-24.0,16.0,8.0,-16.0,17.0,0.0,7.62,17.78,0.99,10.0,-0.54,-2.0,1.75,18.0,-11.0,-0.7,529,neil magny,75,170.0,75,3.67,0.47,2.05,0.56,2.46,0.45,0.57,0.3,0,1,0,0,38.0,0
965,sean o'malley,eddie wineland,06/06/2020,KO/TKO,1.0,1:54,3 Rnd (5-5-5),Bantamweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Switch,Orthodox,blue,1.0,8.0,7.86,0.0,0.0,0.0,0.0,-10.0,21.43,100.0,7.86,0.0,0.0,-37.0,13.0,23.0,0.0,0.0,0.0,10.16,7.62,2.95,28.0,0.1,-5.0,0.71,17.0,-25.0,1.0,652,sean o'malley,71,135.0,71,6.35,0.57,3.76,0.64,1.05,0.5,0.61,1.1,0,0,0,1,31.0,0
966,alex caceres,chase hooper,06/06/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Southpaw,Southpaw,red,1.0,34.0,33.66,100.0,0.0,-1.0,-25.0,35.34,2.68,25.0,34.3,-16.67,2.78,5.0,-8.0,3.0,-5.0,-3.0,8.0,-7.62,-2.54,-0.33,5.0,-1.13,27.0,0.25,71.0,-2.0,-1.4,117,alex caceres,70,145.0,70,4.1,0.5,2.82,0.65,0.57,0.78,0.64,0.8,0,0,1,0,37.0,0
967,ian heinisch,gerald meerschaert,06/06/2020,KO/TKO,1.0,1:14,3 Rnd (5-5-5),Middleweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Orthodox,Southpaw,red,1.0,50.0,51.48,0.0,0.0,0.0,13.0,64.77,0.0,100.0,70.0,0.0,75.0,52.0,-61.0,10.0,-75.0,0.0,75.0,-5.08,-12.7,-0.02,8.0,-0.82,7.0,-1.2,-25.0,14.0,-0.9,360,ian heinisch,71,185.0,71,3.28,0.5,2.79,0.58,1.13,0.18,0.6,0.8,0,1,0,0,37.0,0
968,maki pitolo,charles byrd,06/06/2020,KO/TKO,2.0,1:10,3 Rnd (5-5-5),Middleweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,5.0,-0.84,50.0,0.0,-1.0,-62.0,0.0,-18.18,0.0,-0.15,100.0,3.33,-22.0,22.0,0.0,-8.0,17.0,-9.0,0.0,5.08,0.77,-11.0,1.08,1.0,-0.08,2.0,15.0,-1.0,721,maki pitolo,70,185.0,70,4.2,0.44,3.71,0.56,2.42,0.52,0.55,0.5,0,1,0,0,35.0,0
969,alex perez,jussier formiga,06/06/2020,KO/TKO,1.0,4:06,3 Rnd (5-5-5),Flyweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,2.0,4.0,3.64,0.0,0.0,0.0,4.0,-13.97,50.0,-16.67,1.14,-16.67,0.0,-53.0,6.0,46.0,-12.0,12.0,0.0,2.54,-5.08,3.2,8.0,0.74,-3.0,1.1,10.0,0.0,0.7,701,alex perez,66,125.0,66,4.62,0.47,3.08,0.61,2.92,0.45,0.87,1.3,0,1,0,0,34.0,0
970,devin clark,alonzo menifield,06/06/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,18.0,23.33,10.0,0.0,0.0,-364.0,-7.0,23.25,-100.0,4.98,28.44,100.0,-50.0,55.0,-5.0,-7.0,6.0,1.0,0.0,-2.54,-0.01,10.0,-1.29,3.0,2.7,36.0,-9.0,0.1,156,devin clark,72,205.0,72,3.33,0.57,2.43,0.48,2.7,0.36,0.76,0.1,0,1,0,0,35.0,0
971,herbert burns,evan dunham,06/06/2020,Submission,1.0,1:20,3 Rnd (5-5-5),Catch Weight Bout,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,0.0,4.4,100.0,1.0,0.0,33.0,26.67,-66.67,0.0,0.0,-50.0,100.0,14.0,-13.0,0.0,14.0,-33.0,20.0,-2.54,7.62,-3.66,6.0,1.48,-28.0,2.82,50.0,-4.0,1.8,111,herbert burns,69,145.0,69,1.67,0.45,5.02,0.33,4.64,0.83,0.75,2.8,0,1,0,0,38.0,0
972,gilbert burns,tyron woodley,30/05/2020,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Welterweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,17.0,9.57,25.0,1.0,0.0,311.0,18.18,16.51,-6.67,15.45,-18.75,95.0,-1.0,-10.0,11.0,-6.0,-17.0,22.0,2.54,-7.62,0.89,-3.0,0.32,-1.0,1.0,-5.0,-37.0,0.3,112,gilbert burns,70,170.0,70,3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7,0,1,0,0,39.0,0
973,billy quarantillo,spike carlyle,30/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Catch Weight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Orthodox,Switch,red,0.0,18.0,18.73,16.0,2.0,-2.0,-257.0,17.22,0.0,0.0,-20.45,0.0,36.4,-6.0,7.0,0.0,-8.0,0.0,9.0,5.08,-2.54,4.48,10.0,0.52,12.0,-2.06,-5.0,0.0,1.3,736,billy quarantillo,70,145.0,70,7.03,0.64,4.37,0.42,1.28,0.31,0.57,1.8,0,1,0,0,37.0,0
974,roosevelt roberts,brok weaver,30/05/2020,Submission,2.0,3:26,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Orthodox,Southpaw,red,0.0,36.0,29.11,33.0,3.0,0.0,44.0,45.71,-11.82,100.0,29.96,42.86,100.0,32.0,-47.0,15.0,-9.0,-23.0,32.0,5.08,0.0,-1.75,-15.0,-2.08,6.0,1.34,43.0,-8.0,0.7,764,roosevelt roberts,74,155.0,74,3.03,0.49,2.27,0.52,1.75,0.53,0.58,1.1,0,1,0,0,32.0,0
975,mackenzie dern,hannah cifers,30/05/2020,Submission,1.0,2:36,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-3.0,-11.67,0.0,1.0,0.0,-24.0,-4.68,50.0,0.0,8.02,-80.0,0.0,-2.0,-22.0,26.0,58.0,-57.0,0.0,7.62,2.54,-1.25,-6.0,-1.58,9.0,0.02,-95.0,-64.0,1.9,210,mackenzie dern,64,115.0,64,3.74,0.38,3.81,0.61,0.28,0.05,0.0,2.2,0,1,0,0,33.0,1
976,daniel rodriguez,gabe green,30/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Southpaw,Switch,red,0.0,4.0,4.2,100.0,0.0,0.0,16.0,15.22,-6.11,11.76,3.68,30.0,100.0,31.0,-25.0,-6.0,-2.0,1.0,1.0,7.62,2.54,1.11,0.0,-1.11,8.0,0.34,-38.0,33.0,-0.2,772,daniel rodriguez,73,170.0,73,7.68,0.46,6.12,0.57,1.34,0.62,0.9,0.3,0,0,1,0,39.0,0
977,brandon royval,tim elliott,30/05/2020,Submission,2.0,3:18,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Southpaw,Southpaw,blue,0.0,-5.0,-19.07,60.0,2.0,0.0,-117.0,1.29,40.0,11.11,-4.45,40.0,0.0,21.0,8.0,-29.0,11.0,-11.0,1.0,5.08,5.08,0.42,1.0,0.39,-12.0,-3.22,51.0,-5.0,1.3,788,brandon royval,69,125.0,69,3.77,0.46,2.88,0.47,0.79,1.0,0.53,2.4,0,0,1,0,33.0,0
978,casey kenney,louis smolka,30/05/2020,Submission,1.0,3:03,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,20.0,19.68,0.0,1.0,0.0,9.0,19.12,31.48,100.0,21.76,0.0,0.0,24.0,-62.0,37.0,8.0,-8.0,0.0,-5.08,0.0,0.37,-4.0,0.56,6.0,-0.74,2.0,28.0,-1.4,447,casey kenney,67,140.0,67,4.81,0.42,4.3,0.59,1.1,0.39,0.59,0.5,0,0,1,0,35.0,0
979,chris gutierrez,vince morales,30/05/2020,KO/TKO,2.0,4:27,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,2.0,34.0,34.2,0.0,0.0,0.0,9.0,27.46,0.0,80.0,32.59,0.0,100.0,-17.0,-44.0,60.0,-7.0,0.0,6.0,5.08,-7.62,0.08,18.0,-1.71,6.0,0.57,60.0,18.0,0.2,341,chris gutierrez,69,145.0,69,4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2,0,1,0,0,34.0,0
980,alistair overeem,walt harris,16/05/2020,KO/TKO,2.0,3:00,5 Rnd (5-5-5-5-5),Heavyweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Southpaw,red,0.0,28.0,32.27,100.0,0.0,0.0,215.0,30.99,14.29,100.0,38.42,66.67,11.85,9.0,-13.0,2.0,-14.0,-3.0,16.0,-2.54,7.62,0.72,26.0,-0.99,3.0,1.12,27.0,1.0,0.7,672,alistair overeem,76,265.0,76,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8,0,1,0,0,45.0,0
981,claudia gadelha,angela hill,16/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,-1.0,-11.0,-9.76,25.0,0.0,0.0,130.0,-10.04,-7.69,-10.0,-11.98,-50.0,100.0,6.0,-16.0,9.0,-3.0,-2.0,4.0,2.54,-2.54,-2.35,-9.0,-0.41,-7.0,2.58,6.0,-18.0,0.6,289,claudia gadelha,64,115.0,64,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7,0,1,0,0,37.0,1
982,dan ige,edson barboza,16/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,-1.0,-7.0,-4.33,25.0,0.0,0.0,11.0,-5.6,6.73,21.05,-5.5,-26.39,35.71,18.0,-10.0,-8.0,17.0,-4.0,-14.0,-10.16,-10.16,-0.03,3.0,-0.67,-2.0,1.24,-17.0,-19.0,0.4,401,dan ige,67,145.0,67,3.95,0.46,3.36,0.58,1.68,0.27,0.59,0.5,0,1,0,0,34.0,0
983,krzysztof jotko,eryk anders,16/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Southpaw,Southpaw,blue,0.0,14.0,10.28,0.0,0.0,0.0,-305.0,23.15,-5.01,85.71,18.69,18.41,0.0,25.0,-34.0,9.0,24.0,-24.0,0.0,0.0,5.08,-0.25,-1.0,-2.25,7.0,-0.35,0.0,7.0,0.0,429,krzysztof jotko,73,185.0,73,2.98,0.45,1.9,0.58,1.27,0.35,0.87,0.1,0,0,1,0,36.0,0
984,song yadong,marlon vera,16/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Switch,red,0.0,-6.0,-7.65,-66.0,0.0,0.0,-135.0,3.82,-1.91,6.29,-6.79,-1.23,50.0,34.0,-20.0,-14.0,5.0,-1.0,-4.0,0.0,-7.62,0.7,-7.0,-0.31,5.0,-0.19,38.0,-14.0,-0.7,866,song yadong,68,145.0,68,4.35,0.42,3.64,0.57,0.59,0.75,0.56,0.4,0,1,0,0,28.0,0
985,miguel baeza,matt brown,16/05/2020,KO/TKO,2.0,0:18,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Orthodox,blue,2.0,-4.0,-0.94,0.0,0.0,0.0,47.0,-10.13,-8.57,91.67,-0.96,-20.59,77.78,-19.0,-11.0,29.0,15.0,-34.0,18.0,5.08,-2.54,0.95,1.0,1.22,-5.0,-0.76,-4.0,37.0,-0.2,51,miguel baeza,74,170.0,74,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,0,1,0,0,33.0,0
986,kevin holland,anthony hernandez,16/05/2020,KO/TKO,1.0,0:39,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Orthodox,blue,1.0,77.0,77.78,0.0,0.0,0.0,4.0,69.23,100.0,100.0,57.14,100.0,83.33,31.0,-6.0,-26.0,-5.0,1.0,2.0,7.62,15.24,-0.78,1.0,-2.51,9.0,-2.68,-21.0,-19.0,-1.2,380,kevin holland,75,185.0,75,4.14,0.56,2.58,0.56,1.08,0.45,0.51,0.7,0,1,0,0,33.0,0
987,cortney casey,mara romero borella,16/05/2020,Submission,1.0,3:36,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,-21.0,-12.5,-50.0,2.0,0.0,-175.0,0.0,0.0,-66.67,-21.43,-50.0,0.0,26.0,-4.0,-24.0,-7.0,-24.0,30.0,2.54,-5.08,1.79,1.0,1.71,-19.0,-1.55,-17.0,-28.0,0.4,137,cortney casey,67,125.0,67,4.33,0.38,4.19,0.52,0.28,0.27,0.38,0.6,0,1,0,0,38.0,1
988,rodrigo nascimento,don'tale mayes,16/05/2020,Submission,2.0,2:05,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,5.0,4.61,100.0,1.0,0.0,50.0,9.09,-1.79,0.0,6.56,14.29,75.0,6.0,-7.0,0.0,4.0,-13.0,9.0,-10.16,-2.54,0.1,10.0,-0.14,-1.0,2.47,80.0,41.0,2.7,627,rodrigo nascimento,74,246.0,74,4.23,0.55,4.32,0.42,2.7,1.0,1.0,2.7,0,1,0,0,33.0,0
989,glover teixeira,anthony smith,13/05/2020,KO/TKO,5.0,1:04,5 Rnd (5-5-5-5-5),Light Heavyweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Orthodox,Orthodox,blue,1.0,21.0,26.97,17.0,0.0,0.0,471.0,21.49,13.16,25.0,7.38,37.14,82.89,8.0,-7.0,0.0,-53.0,7.0,45.0,-5.08,0.0,0.81,1.0,-0.54,12.0,1.55,12.0,9.0,0.3,911,glover teixeira,74,205.0,74,3.75,0.47,3.84,0.54,2.04,0.4,0.6,1.0,0,1,0,0,46.0,0
990,ben rothwell,ovince saint preux,13/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Orthodox,Southpaw,red,-1.0,-1.0,7.69,33.0,0.0,0.0,327.0,-1.98,1.57,60.0,3.49,-26.72,100.0,2.0,-4.0,3.0,-7.0,4.0,3.0,2.54,-5.08,0.87,-5.0,1.54,1.0,-0.56,-7.0,3.0,-0.3,786,ben rothwell,76,265.0,76,3.55,0.41,4.57,0.46,0.63,0.33,0.69,0.3,0,1,0,0,44.0,0
991,drew dober,alexander hernandez,13/05/2020,KO/TKO,2.0,4:25,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Southpaw,Orthodox,blue,0.0,11.0,7.97,-60.0,0.0,0.0,-56.0,13.1,-3.16,77.78,12.0,-1.43,-100.0,14.0,-26.0,11.0,6.0,-3.0,-2.0,-2.54,-5.08,0.76,5.0,0.06,-5.0,-0.8,-21.0,-7.0,0.1,217,drew dober,68,155.0,68,4.33,0.4,3.87,0.54,0.8,0.17,0.55,0.1,0,0,1,0,37.0,0
992,ricky simon,ray borg,13/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,-5.0,0.63,63.0,0.0,-1.0,293.0,-8.22,-1.46,90.91,-9.79,71.43,100.0,-5.0,-10.0,14.0,-20.0,7.0,11.0,5.08,15.24,1.56,-10.0,1.2,16.0,3.04,4.0,26.0,-0.6,849,ricky simon,66,135.0,66,3.08,0.42,3.13,0.64,6.93,0.54,0.72,0.4,0,1,0,0,33.0,0
993,andrei arlovski,philipe lins,13/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,5.0,5.32,0.0,0.0,0.0,-7.0,-4.74,14.96,4.0,5.54,-8.33,0.0,-19.0,-3.0,23.0,0.0,1.0,0.0,2.54,-2.54,0.82,4.0,-0.85,8.0,0.47,36.0,78.0,0.3,36,andrei arlovski,75,240.0,75,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,0,1,0,0,47.0,0
994,thiago moises,michael johnson,13/05/2020,Submission,2.0,0:25,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Orthodox,Southpaw,blue,0.0,-39.0,-39.65,0.0,1.0,0.0,-21.0,-33.33,-44.83,14.29,-37.82,0.0,-100.0,-29.0,-48.0,78.0,4.0,0.0,-3.0,-2.54,-7.62,-1.36,-1.0,0.06,2.0,0.57,-12.0,-14.0,1.1,592,thiago moises,69,155.0,69,2.85,0.37,3.88,0.6,1.06,0.33,0.63,1.2,0,1,0,0,31.0,0
995,sijara eubanks,sarah moras,13/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,18.0,7.81,100.0,0.0,0.0,254.0,24.85,25.45,-16.66,13.81,38.1,64.29,31.0,-13.0,-18.0,-21.0,-1.0,21.0,-7.62,0.0,2.24,9.0,0.11,7.0,1.21,25.0,32.0,-0.4,254,sijara eubanks,64,135.0,64,4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4,0,1,0,0,40.0,1
996,brian kelleher,hunter azure,13/05/2020,KO/TKO,2.0,3:40,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",Switch,Orthodox,blue,1.0,-17.0,-16.83,0.0,0.0,0.0,8.0,-11.29,-32.49,-49.45,-20.13,-33.33,100.0,3.0,-3.0,1.0,-2.0,-4.0,6.0,-5.08,-7.62,-0.25,-13.0,3.48,-9.0,-1.52,-20.0,-17.0,-0.7,442,brian kelleher,66,145.0,66,3.92,0.39,5.47,0.53,1.0,0.25,0.59,0.7,0,0,0,1,39.0,0
997,henry cejudo,dominick cruz,09/05/2020,KO/TKO,2.0,4:58,5 Rnd (5-5-5-5-5),UFC Bantamweight Title Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,1.0,23.0,24.38,20.0,0.0,0.0,14.0,22.14,2.27,8.67,23.12,-66.67,81.82,0.0,-13.0,13.0,-10.0,-6.0,16.0,-10.16,-10.16,0.27,13.0,0.35,-7.0,-0.87,-13.0,10.0,0.1,142,henry cejudo,64,135.0,64,3.92,0.45,2.77,0.65,2.12,0.33,0.93,0.2,0,1,0,0,39.0,0
998,anthony pettis,donald cerrone,09/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,14.0,19.01,-25.0,0.0,0.0,-106.0,24.7,-26.26,-11.04,13.29,40.0,100.0,19.0,-14.0,-6.0,0.0,-3.0,3.0,-7.62,-2.54,-1.38,1.0,-1.02,1.0,-0.58,17.0,-13.0,-0.1,706,anthony pettis,70,155.0,70,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1,0,1,0,0,39.0,0
999,aleksei oleinik,fabricio werdum,09/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Heavyweight Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,0.0,-12.0,-7.48,-42.0,-1.0,0.0,-2.0,-4.61,23.81,-16.67,-8.35,-13.33,-100.0,34.0,-20.0,-13.0,12.0,-7.0,-5.0,-5.08,7.62,-0.12,-2.0,1.21,-11.0,0.63,15.0,2.0,1.2,656,aleksei oleinik,74,240.0,74,3.47,0.5,3.85,0.44,2.38,0.46,0.33,2.4,0,1,0,0,48.0,0
1000,carla esparza,michelle waterson-gomez,09/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Orthodox,,red,0.0,-1.0,0.38,10.0,0.0,0.0,46.0,13.64,-6.25,-1.3,-0.9,-20.83,100.0,41.0,-16.0,-25.0,-2.0,0.0,2.0,,,,,,,,,,,250,carla esparza,61,115.0,61,2.29,0.42,2.85,0.53,3.44,0.35,0.48,0.3,0,1,0,0,38.0,1
1001,vicente luque,niko price,09/05/2020,TKO - Doctor's Stoppage,3.0,3:37,3 Rnd (5-5-5),Welterweight Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Orthodox,Orthodox,red,1.0,10.0,7.94,-25.0,0.0,0.0,-84.0,10.48,6.67,3.2,11.74,-22.37,-25.0,3.0,-5.0,3.0,7.0,-6.0,-1.0,-2.54,-2.54,0.39,12.0,-0.01,3.0,-0.21,28.0,-8.0,-0.1,516,vicente luque,71,170.0,71,5.72,0.53,5.82,0.52,0.68,0.5,0.64,0.8,0,1,0,0,34.0,0
1002,bryce mitchell,charles rosa,09/05/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Southpaw,Switch,red,0.0,31.0,10.49,100.0,5.0,0.0,771.0,46.43,0.0,-100.0,-50.0,0.0,36.96,27.0,12.0,-40.0,-80.0,0.0,80.0,2.54,2.54,-0.82,24.0,-2.32,12.0,1.5,14.0,-7.0,1.3,587,bryce mitchell,70,145.0,70,2.29,0.61,1.46,0.6,3.26,0.46,0.33,2.3,0,0,1,0,31.0,0
1003,ryan spann,sam alvey,09/05/2020,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",Orthodox,Southpaw,red,0.0,-8.0,-21.2,28.0,1.0,0.0,152.0,-4.24,-23.08,-93.33,-4.9,-28.57,0.0,10.0,14.0,-24.0,14.0,-14.0,0.0,7.62,10.16,0.38,1.0,0.19,-8.0,1.64,25.0,-22.0,1.6,875,ryan spann,77,205.0,77,3.55,0.45,3.45,0.47,1.72,0.41,0.6,1.7,0,1,0,0,34.0,0
1004,charles oliveira,kevin lee,14/03/2020,Submission,3.0,0:28,5 Rnd (5-5-5-5-5),Lightweight Bout,UFC Fight Night: Lee vs. Oliveira,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,blue,0.0,15.0,8.86,-66.0,2.0,0.0,-379.0,9.84,-10.0,100.0,14.81,100.0,19.04,-20.0,6.0,13.0,6.0,4.0,-11.0,2.54,-7.62,-0.68,10.0,-0.29,3.0,-0.57,1.0,-18.0,2.0,658,charles oliveira,70,155.0,70,3.22,0.52,2.94,0.54,2.64,0.44,0.57,2.8,0,1,0,0,36.0,0
1005,gilbert burns,demian maia,14/03/2020,KO/TKO,1.0,2:34,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Lee vs. Oliveira,"Brasilia, Distrito Federal, Brazil",Orthodox,Southpaw,blue,1.0,24.0,25.21,-100.0,0.0,0.0,-79.0,19.78,100.0,100.0,14.29,0.0,88.89,-24.0,7.0,15.0,-62.0,0.0,61.0,-7.62,-2.54,1.4,2.0,1.01,-9.0,-0.47,9.0,-11.0,-0.3,112,gilbert burns,70,170.0,70,3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7,0,1,0,0,39.0,0
1006,renato moicano,damir hadzovic,14/03/2020,Submission,1.0,0:44,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Lee vs. Oliveira,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,red,0.0,30.0,60.0,100.0,1.0,0.0,25.0,50.0,0.0,-100.0,30.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,5.08,5.08,2.41,0.0,0.75,-1.0,0.6,-7.0,39.0,0.4,593,renato moicano,71,155.0,71,5.4,0.46,3.74,0.65,1.28,0.53,0.78,0.6,0,1,0,0,36.0,0
1007,nikita krylov,johnny walker,14/03/2020,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Lee vs. Oliveira,"Brasilia, Distrito Federal, Brazil",Orthodox,Orthodox,blue,0.0,3.0,5.24,37.0,0.0,0.0,535.0,4.22,19.04,-50.0,-15.87,-22.22,18.82,-5.0,8.0,-3.0,-5.0,-17.0,22.0,-7.62,-12.7,-0.08,-16.0,-0.99,12.0,0.94,-67.0,-5.0,0.1,466,nikita krylov,75,205.0,75,4.33,0.56,2.52,0.43,1.34,0.33,0.55,1.3,0,1,0,0,34.0,0
