,winner_winner_name,winner_loser_name,winner_event_date,winner_method,winner_round,winner_time,winner_time_format,winner_bout_type,winner_event_name,winner_event_location,winner_winner_stance,winner_loser_stance,winner_winner,winner_delta_KD,winner_delta_sig_str_pct,winner_delta_total_str_pct,winner_delta_TD_pct,winner_delta_sub_att,winner_delta_rev,winner_delta_ctrl,winner_delta_sig_str_head_acc_pct,winner_delta_sig_str_body_acc_pct,winner_delta_sig_str_leg_acc_pct,winner_delta_sig_str_distance_acc_pct,winner_delta_sig_str_clinch_acc_pct,winner_delta_sig_str_ground_acc_pct,winner_delta_sig_str_head_tar_pct,winner_delta_sig_str_body_tar_pct,winner_delta_sig_str_leg_tar_pct,winner_delta_sig_str_distance_pos_pct,winner_delta_sig_str_clinch_pos_pct,winner_delta_sig_str_ground_pos_pct,winner_delta_height,winner_delta_reach,winner_delta_slpm_cs,winner_delta_str_acc_cs,winner_delta_sapm_cs,winner_delta_str_def_cs,winner_delta_td_avg_cs,winner_delta_td_acc_cs,winner_delta_td_def_cs,winner_delta_sub_avg_cs,winner_Unnamed: 0,winner_fighter_name,winner_Height,winner_Weight,winner_Reach,winner_SLpM,winner_Str_Acc,winner_SApM,winner_Str_Def,winner_TD_Avg,winner_TD_Acc,winner_TD_Def,winner_Sub_Avg,winner_Stance_Open Stance,winner_Stance_Orthodox,winner_Stance_Southpaw,winner_Stance_Switch,winner_Age,winner_Female
10,grant dawson,rafa garcia,12/10/2024,KO/TKO,2.0,1:42,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",Switch,Orthodox,red,0.0,7.0,-20.76,50.0,0.0,0.0,309.0,0.0,8.33,100.0,-15.53,-100.0,59.09,6.0,-11.0,4.0,-69.0,-20.0,88.0,7.62,5.08,-0.07,25.0,-4.5,-3.0,3.44,34.0,-60.0,1.6,199,grant dawson,70,145.0,70,3.4,0.48,2.1,0.51,3.44,0.34,0.4,1.6,0,0,0,1,32.0,0
11,daniel rodriguez,alex morono,12/10/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",Southpaw,Orthodox,red,0.0,19.0,15.49,100.0,0.0,0.0,56.0,3.32,27.14,8.33,17.7,100.0,0.0,-43.0,33.0,9.0,-5.0,4.0,0.0,5.08,5.08,2.72,4.0,2.43,1.0,0.9,34.0,43.0,-0.1,772,daniel rodriguez,73,170.0,73,7.68,0.46,6.12,0.57,1.34,0.62,0.9,0.3,0,0,1,0,39.0,0
12,julianna pena,raquel pennington,05/10/2024,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Bantamweight Title Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Orthodox,Orthodox,blue,-1.0,6.0,7.48,66.0,1.0,0.0,307.0,12.48,-6.06,14.29,6.59,-16.67,0.0,28.0,-22.0,-5.0,2.0,-2.0,0.0,-2.54,5.08,-0.82,-1.0,-1.5,-10.0,1.37,25.0,-42.0,0.1,687,julianna pena,66,135.0,66,2.8,0.47,1.7,0.53,2.49,0.53,0.23,0.8,0,1,0,0,36.0,1
13,roman dolidze,kevin holland,05/10/2024,KO/TKO,1.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Orthodox,Orthodox,red,0.0,-7.0,-21.82,100.0,0.0,0.0,170.0,14.87,25.0,9.09,-14.29,0.0,60.87,57.0,-6.0,-50.0,-74.0,0.0,73.0,-2.54,-12.7,-1.16,-5.0,-0.83,5.0,0.67,5.0,-18.0,1.5,221,roman dolidze,74,205.0,74,2.98,0.51,1.75,0.61,1.75,0.5,0.33,2.2,0,1,0,0,37.0,0
14,ryan spann,ovince saint preux,05/10/2024,Submission,1.0,1:35,3 Rnd (5-5-5),Light Heavyweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Orthodox,Southpaw,red,0.0,-25.0,-25.0,0.0,1.0,0.0,0.0,-28.21,40.0,0.0,-25.0,0.0,0.0,27.0,22.0,-49.0,0.0,0.0,0.0,5.08,-2.54,0.87,-1.0,0.42,2.0,0.53,1.0,-6.0,1.1,875,ryan spann,77,205.0,77,3.55,0.45,3.45,0.47,1.72,0.41,0.6,1.7,0,1,0,0,34.0,0
15,court mcgee,tim means,05/10/2024,Submission,1.0,3:19,3 Rnd (5-5-5),Welterweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Orthodox,Orthodox,red,0.0,20.0,-5.71,100.0,1.0,0.0,118.0,27.78,8.33,0.0,25.18,0.0,0.0,24.0,-19.0,-6.0,0.0,0.0,0.0,-7.62,0.0,-0.26,-12.0,0.36,0.0,0.68,-20.0,-1.0,0.2,566,court mcgee,71,170.0,71,4.9,0.36,3.94,0.61,1.6,0.21,0.63,0.4,0,1,0,0,41.0,0
16,renato moicano,benoit saint denis,28/09/2024,TKO - Doctor's Stoppage,2.0,5:00,5 Rnd (5-5-5-5-5),Lightweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",Orthodox,,red,0.0,28.0,23.47,33.0,0.0,0.0,288.0,40.15,-71.43,-20.0,6.9,0.0,91.67,40.0,-40.0,0.0,-66.0,0.0,66.0,,,,,,,,,,,593,renato moicano,71,155.0,71,5.4,0.46,3.74,0.65,1.28,0.53,0.78,0.6,0,1,0,0,36.0,0
17,nassourdine imavov,brendan allen,28/09/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",Orthodox,Orthodox,red,0.0,9.0,1.01,-10.0,0.0,0.0,-19.0,14.97,20.0,0.0,10.08,17.78,-27.78,23.0,-5.0,-19.0,-2.0,-8.0,9.0,2.54,0.0,0.62,2.0,-2.54,20.0,-0.67,-25.0,10.0,0.0,402,nassourdine imavov,75,185.0,75,4.17,0.61,2.03,0.59,0.5,0.12,0.6,2.0,0,1,0,0,31.0,0
18,taylor lapilus,vince morales,28/09/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",Southpaw,Orthodox,red,0.0,19.0,15.78,-33.0,0.0,0.0,-172.0,16.06,30.13,43.06,16.78,37.26,0.0,3.0,0.0,-3.0,-2.0,2.0,0.0,-2.54,7.62,-0.45,6.0,-2.16,8.0,0.58,40.0,26.0,0.6,477,taylor lapilus,66,135.0,66,3.77,0.45,2.0,0.61,0.58,0.4,0.81,0.6,0,0,1,0,33.0,0
19,merab dvalishvili,sean o'malley,14/09/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Bantamweight Title Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Orthodox,Switch,blue,0.0,-2.0,15.18,40.0,0.0,0.0,603.0,-3.52,7.7,-17.86,-18.82,57.14,2.56,21.0,-44.0,24.0,-60.0,9.0,50.0,-12.7,-10.16,-2.44,-18.0,-1.68,-3.0,6.66,-7.0,19.0,-0.8,232,merab dvalishvili,66,135.0,66,3.91,0.39,2.08,0.61,7.71,0.43,0.8,0.3,0,1,0,0,35.0,0
