Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age
716,Brad Pickett,5' 6,135.0,5' 6,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4,0,1,0,0,47.0
717,Sean Pierson,6' 0,170.0,6' 0,3.84,0.39,3.73,0.64,0.39,0.18,0.66,0.4,0,0,1,0,50.0
718,Domingo Pilarte,6' 0,135.0,6' 0,2.04,0.5,3.69,0.42,2.0,0.42,0.75,1.3,0,0,1,0,36.0
719,Daniel Pineda,5' 7,145.0,5' 7,3.41,0.49,2.72,0.44,1.55,0.29,0.44,1.8,0,1,0,0,40.0
720,Pingyuan Liu,5' 6,135.0,5' 6,2.36,0.33,2.99,0.54,0.25,0.2,0.56,1.0,0,1,0,0,33.0
721,Maki Pitolo,5' 10,185.0,5' 10,4.2,0.44,3.71,0.56,2.42,0.52,0.55,0.5,0,1,0,0,35.0
722,Igor Pokrajac,6' 0,205.0,6' 0,2.25,0.45,4.26,0.4,0.87,0.29,0.51,0.2,0,1,0,0,47.0
723,Dustin Poirier,5' 9,155.0,5' 9,5.59,0.5,4.17,0.54,1.47,0.36,0.61,1.3,0,0,1,0,37.0
724,Parker Porter,6' 0,265.0,6' 0,7.69,0.49,7.36,0.52,1.65,0.6,0.0,1.1,0,1,0,0,40.0
725,Ruan Potts,6' 2,247.0,6' 2,0.85,0.37,5.92,0.22,0.75,0.16,0.33,2.3,0,1,0,0,48.0
726,Trevor Prangley,6' 1,185.0,6' 1,2.59,0.6,2.02,0.48,3.38,0.55,0.74,1.0,0,1,0,0,53.0
727,Carlo Prater,5' 11,155.0,5' 11,2.03,0.47,4.07,0.35,0.43,0.09,0.57,1.7,0,0,0,1,44.0
728,Michel Prazeres,5' 6,170.0,5' 6,2.44,0.47,2.49,0.58,4.11,0.36,0.5,0.6,0,1,0,0,44.0
729,Niko Price,6' 0,170.0,6' 0,5.33,0.41,5.83,0.49,0.89,0.22,0.72,0.9,0,1,0,0,36.0
730,Lara Procopio,5' 4,125.0,5' 4,6.7,0.57,6.93,0.47,3.5,0.5,0.0,0.5,0,1,0,0,30.0
731,Cole Province,5' 9,145.0,5' 9,1.47,0.44,2.72,0.43,2.4,0.5,0.83,1.0,0,1,0,0,45.0
732,Lucie Pudilova,5' 8,125.0,5' 8,4.15,0.36,4.09,0.52,0.16,0.12,0.61,0.6,0,1,0,0,31.0
733,Claudio Puelles,5' 11,155.0,5' 11,1.95,0.44,3.73,0.5,3.06,0.36,0.0,1.3,0,0,1,0,29.0
734,Jens Pulver,5' 7,145.0,5' 7,2.12,0.37,3.13,0.56,0.22,0.33,0.63,0.3,0,0,1,0,51.0
735,Mike Pyle,6' 0,170.0,6' 0,2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5,0,1,0,0,50.0
736,Billy Quarantillo,5' 10,145.0,5' 10,7.03,0.64,4.37,0.42,1.28,0.31,0.57,1.8,0,1,0,0,37.0
737,Jose Quinonez,5' 8,135.0,5' 8,3.6,0.45,3.0,0.64,2.7,0.47,0.42,0.6,0,0,1,0,35.0
738,Aleksandar Rakic,6' 4,205.0,6' 4,4.23,0.52,2.23,0.52,0.75,0.25,0.9,0.2,0,1,0,0,34.0
739,Davi Ramos,5' 6,155.0,5' 6,2.64,0.37,3.44,0.56,1.95,0.4,0.83,0.6,0,1,0,0,39.0
740,Ricardo Ramos,5' 9,145.0,5' 9,3.0,0.39,3.28,0.58,1.99,0.56,0.71,0.7,0,1,0,0,30.0
741,Bec Rawlings,5' 6,125.0,5' 6,4.48,0.42,5.66,0.57,0.71,0.4,0.68,0.4,0,1,0,0,37.0
742,Stevie Ray,5' 10,155.0,5' 10,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6,0,0,1,0,36.0
743,Rafael Rebello,5' 5,135.0,5' 5,2.19,0.32,3.29,0.58,2.82,0.33,0.75,0.5,0,1,0,0,45.0
744,Goran Reljic,6' 3,205.0,6' 3,1.69,0.37,2.69,0.59,1.69,0.5,0.33,1.1,0,0,1,0,42.0
745,Wilson Reis,5' 4,125.0,5' 4,1.83,0.29,3.04,0.55,5.15,0.42,0.47,0.6,0,0,1,0,41.0
746,Chance Rencountre,6' 2,170.0,6' 2,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3,0,0,1,0,39.0
747,Marion Reneau,5' 6,135.0,5' 6,3.29,0.41,3.37,0.61,0.66,0.63,0.5,0.8,0,1,0,0,48.0
748,Dominick Reyes,6' 4,205.0,6' 4,4.53,0.48,3.16,0.49,0.2,0.16,0.82,0.2,0,0,1,0,36.0
749,Mike Rhodes,6' 1,170.0,6' 1,3.2,0.39,4.13,0.64,0.96,0.33,0.75,0.5,0,1,0,0,36.0
750,Amanda Ribas,5' 3,125.0,5' 3,4.25,0.44,1.78,0.71,2.31,0.58,0.85,1.6,0,1,0,0,32.0
751,Matthew Riddle,6' 1,170.0,6' 1,3.01,0.42,2.74,0.54,3.51,0.5,0.89,0.5,0,0,1,0,40.0
752,Joe Riggs,6' 0,185.0,6' 0,2.41,0.51,1.69,0.57,2.45,0.55,0.62,0.6,0,0,1,0,43.0
753,Aaron Riley,5' 8,155.0,5' 8,3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1,0,0,1,0,45.0
754,Jordan Rinaldi,5' 10,145.0,5' 10,1.56,0.35,2.32,0.59,1.45,0.35,0.2,1.2,0,1,0,0,38.0
755,Nick Ring,6' 0,185.0,6' 0,3.52,0.42,3.48,0.62,1.36,0.36,0.52,0.3,0,0,1,0,47.0
756,Mike Rio,5' 10,155.0,5' 10,1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0,0,1,0,0,44.0
757,Diego Rivas,5' 8,145.0,5' 8,1.37,0.4,2.14,0.52,1.79,0.6,0.64,0.9,0,1,0,0,34.0
758,Jorge Rivera,6' 1,185.0,6' 1,3.16,0.48,2.64,0.54,0.84,0.5,0.63,0.1,0,1,0,0,54.0
759,Francisco Rivera,5' 8,135.0,5' 8,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6,0,1,0,0,44.0
760,Jimmie Rivera,5' 4,135.0,5' 4,4.03,0.4,3.9,0.6,0.88,0.27,0.92,0.1,0,1,0,0,36.0
761,Karl Roberson,6' 1,185.0,6' 1,3.0,0.51,2.42,0.57,0.99,0.57,0.5,0.8,0,0,1,0,35.0
762,Danny Roberts,6' 1,170.0,6' 1,3.41,0.44,3.08,0.55,0.18,0.06,0.53,0.4,0,0,1,0,38.0
763,Daniel Roberts,5' 10,170.0,5' 10,0.73,0.2,2.27,0.46,2.46,0.44,0.4,2.5,0,0,1,0,45.0
764,Roosevelt Roberts,6' 2,155.0,6' 2,3.03,0.49,2.27,0.52,1.75,0.53,0.58,1.1,0,1,0,0,32.0
765,Kenny Robertson,5' 10,170.0,5' 10,3.72,0.47,3.02,0.52,1.37,0.26,0.57,0.8,0,1,0,0,42.0
766,Gillian Robertson,5' 5,125.0,5' 5,2.05,0.51,2.1,0.51,2.64,0.46,0.0,0.9,0,1,0,0,30.0
767,Alvin Robinson,5' 9,155.0,5' 9,1.57,0.5,1.29,0.51,1.24,0.5,0.25,1.2,0,0,1,0,43.0
768,Vagner Rocha,5' 10,155.0,5' 10,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,0,1,0,0,43.0
769,Luke Rockhold,6' 3,205.0,6' 3,4.18,0.48,2.43,0.56,0.67,0.3,0.68,1.1,0,0,1,0,41.0
770,Yair Rodriguez,5' 11,145.0,5' 11,4.33,0.45,3.13,0.57,0.9,0.29,0.63,0.9,0,1,0,0,33.0
771,Marina Rodriguez,5' 6,115.0,5' 6,4.86,0.5,3.16,0.53,0.36,0.33,0.59,0.2,0,1,0,0,38.0
772,Daniel Rodriguez,6' 1,170.0,6' 1,7.68,0.46,6.12,0.57,1.34,0.62,0.9,0.3,0,0,1,0,39.0
773,Luis Rodriguez,5' 6,125.0,5' 6,1.27,0.37,3.2,0.54,2.0,0.5,1.0,2.0,0,1,0,0,26.0
774,Drako Rodriguez,5' 8,135.0,5' 8,2.57,0.35,2.57,0.26,2.75,1.0,0.0,2.8,0,1,0,0,29.0
775,Max Rohskopf,6' 1,155.0,6' 1,1.7,0.31,5.8,0.42,3.0,0.33,0.0,1.5,0,1,0,0,31.0
776,Marcos Rogerio de Lima,6' 1,253.0,6' 1,3.78,0.54,2.53,0.54,0.71,0.6,0.43,0.7,0,1,0,0,40.0
777,Shane Roller,5' 10,155.0,5' 10,2.04,0.34,2.65,0.6,2.46,0.33,0.42,1.9,0,1,0,0,46.0
778,Alexandr Romanov,6' 2,262.0,6' 2,4.31,0.39,1.76,0.43,6.35,0.66,0.0,3.2,0,0,1,0,35.0
779,Ricardo Romero,6' 0,205.0,6' 0,2.17,0.55,4.77,0.46,1.63,0.1,1.0,3.3,0,1,0,0,47.0
780,Mara Romero Borella,5' 6,125.0,5' 6,2.54,0.37,2.48,0.71,1.83,0.44,0.66,0.2,0,1,0,0,39.0
781,Jesse Ronson,5' 10,170.0,5' 10,3.54,0.49,2.99,0.59,0.63,0.4,0.61,0.6,0,0,1,0,40.0
782,George Roop,6' 1,135.0,6' 1,3.43,0.34,2.47,0.6,1.05,0.57,0.59,0.1,0,1,0,0,44.0
783,Aaron Rosa,6' 4,205.0,6' 4,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,0,1,0,0,42.0
784,Charles Rosa,5' 9,145.0,5' 9,3.11,0.37,3.78,0.48,1.76,0.32,0.4,1.0,0,0,0,1,39.0
785,Jared Rosholt,6' 2,265.0,6' 2,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,0,1,0,0,39.0
786,Ben Rothwell,6' 4,265.0,6' 4,3.55,0.41,4.57,0.46,0.63,0.33,0.69,0.3,0,1,0,0,44.0
787,Ronda Rousey,5' 7,135.0,5' 7,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8,0,1,0,0,39.0
788,Brandon Royval,5' 9,125.0,5' 9,3.77,0.46,2.88,0.47,0.79,1.0,0.53,2.4,0,0,1,0,33.0
789,Mauricio Rua,6' 1,205.0,6' 1,3.57,0.5,2.71,0.54,2.12,0.48,0.47,0.8,0,1,0,0,44.0
790,Mike Russow,6' 1,255.0,6' 1,1.55,0.47,2.9,0.59,4.66,0.43,0.0,0.7,0,1,0,0,49.0
791,Danny Sabatello,5' 10,135.0,5' 10,2.07,0.57,0.2,0.25,3.0,0.75,1.0,1.0,0,1,0,0,33.0
792,Amir Sadollah,5' 10,170.0,5' 10,4.71,0.46,3.55,0.6,0.57,0.27,0.6,0.3,0,1,0,0,45.0
793,Frankie Saenz,5' 6,135.0,5' 6,3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,0,1,0,0,45.0
794,Tarec Saffiedine,5' 10,170.0,5' 10,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1,0,0,0,1,39.0
795,Ovince Saint Preux,6' 3,205.0,6' 3,2.68,0.46,3.03,0.45,1.19,0.4,0.66,0.6,0,0,1,0,42.0
796,John Salter,6' 1,185.0,6' 1,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5,0,0,1,0,41.0
797,Josh Samman,6' 3,185.0,6' 3,2.08,0.52,2.47,0.34,1.09,0.33,0.33,0.4,0,1,0,0,38.0
798,Josh Sampo,5' 4,125.0,5' 4,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1,0,1,0,0,41.0
799,Diego Sanchez,5' 10,170.0,5' 10,2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8,0,0,1,0,44.0
800,Joby Sanchez,5' 6,135.0,5' 6,3.22,0.36,2.82,0.63,0.95,0.71,0.51,0.4,0,1,0,0,34.0
801,Emmanuel Sanchez,5' 9,145.0,5' 9,4.45,0.35,4.17,0.55,0.25,0.06,0.16,0.5,0,0,0,0,35.0
802,Robert Sanchez,5' 6,125.0,5' 6,0.96,0.4,1.78,0.46,3.61,0.62,0.5,0.7,0,1,0,0,40.0
803,Jerrod Sanders,5' 8,135.0,5' 8,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,0,1,0,0,46.0
804,Cory Sandhagen,5' 11,135.0,5' 11,6.85,0.48,3.89,0.59,1.07,0.5,0.3,0.5,0,0,0,1,33.0
805,Luke Sanders,5' 6,135.0,5' 6,6.21,0.51,4.11,0.53,0.31,0.2,0.66,0.3,0,0,1,0,40.0
806,Hector Sandoval,5' 2,125.0,5' 2,3.31,0.52,2.33,0.65,3.49,0.25,0.71,1.4,0,1,0,0,39.0
807,Mike Santiago,5' 10,145.0,5' 10,3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1,0,1,0,0,36.0
808,Jorge Santiago,6' 1,170.0,6' 1,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8,0,1,0,0,45.0
809,Thiago Santos,6' 2,205.0,6' 2,4.27,0.48,2.33,0.55,0.7,0.38,0.66,0.1,0,1,0,0,42.0
810,Evangelista Santos,5' 10,170.0,5' 10,3.94,0.36,6.01,0.49,0.78,1.0,0.5,0.4,0,1,0,0,48.0
811,Leonardo Santos,6' 0,155.0,6' 0,2.65,0.44,2.77,0.58,1.07,0.29,0.89,0.3,0,1,0,0,46.0
812,Taila Santos,5' 6,125.0,5' 6,3.52,0.48,2.22,0.59,2.0,0.8,0.85,1.0,0,1,0,0,32.0
813,Daniel Sarafian,5' 9,185.0,5' 9,2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7,0,1,0,0,43.0
814,Yuta Sasaki,5' 10,125.0,5' 10,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2,0,0,1,0,36.0
815,Paul Sass,6' 0,155.0,6' 0,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4,0,1,0,0,37.0
816,Ben Saunders,6' 2,170.0,6' 2,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3,0,1,0,0,42.0
817,Eric Schafer,6' 3,185.0,6' 3,1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8,0,1,0,0,48.0
818,Brendan Schaub,6' 4,245.0,6' 4,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4,0,1,0,0,43.0
819,Matt Schnell,5' 8,125.0,5' 8,4.2,0.36,4.02,0.62,0.48,0.33,0.53,1.2,0,1,0,0,36.0
820,Justin Scoggins,5' 7,125.0,5' 7,3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5,0,0,1,0,33.0
821,Brad Scott,6' 1,170.0,6' 1,3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7,0,1,0,0,36.0
822,Neil Seery,5' 4,125.0,5' 4,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6,0,1,0,0,46.0
823,Pete Sell,5' 11,170.0,5' 11,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9,0,1,0,0,43.0
824,Matthew Semelsberger,6' 1,170.0,6' 1,7.93,0.5,5.31,0.56,1.97,1.0,1.0,1.0,0,0,0,1,33.0
825,Mackens Semerzier,5' 9,145.0,5' 9,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1,0,1,0,0,45.0
826,Alex Serdyukov,6' 2,170.0,6' 2,4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8,0,1,0,0,45.0
827,Matt Serra,5' 6,170.0,5' 6,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,0,1,0,0,51.0
828,Edmen Shahbazyan,6' 2,185.0,6' 2,3.85,0.51,4.31,0.49,4.44,0.4,0.58,0.5,0,1,0,0,28.0
829,Ken Shamrock,6' 1,205.0,6' 1,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,0,1,0,0,62.0
830,Eric Shelton,5' 6,125.0,5' 6,2.57,0.42,1.88,0.63,2.83,0.51,0.46,0.2,0,1,0,0,35.0
831,Sean Sherk,5' 6,155.0,5' 6,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4,0,1,0,0,52.0
832,Antonina Shevchenko,5' 8,125.0,5' 8,4.09,0.56,2.51,0.54,0.65,0.6,0.56,0.7,0,0,1,0,41.0
833,Valentina Shevchenko,5' 5,125.0,5' 5,2.98,0.5,2.03,0.62,2.21,0.58,0.75,0.3,0,0,1,0,38.0
834,Jake Shields,6' 0,170.0,6' 0,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2,0,1,0,0,47.0
835,Jack Shore,5' 8,135.0,5' 8,3.69,0.54,0.59,0.76,5.16,0.46,0.0,1.5,0,1,0,0,31.0
836,Sam Sicilia,5' 8,145.0,5' 8,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,0,1,0,0,40.0
837,Steven Siler,5' 11,145.0,5' 11,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6,0,1,0,0,39.0
838,Thiago Silva,6' 2,205.0,6' 2,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7,0,1,0,0,43.0
839,Anderson Silva,6' 2,185.0,6' 2,3.05,0.61,2.05,0.6,0.5,0.77,0.69,0.8,0,0,1,0,50.0
840,Wanderlei Silva,5' 11,205.0,5' 11,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6,0,1,0,0,49.0
841,Leandro Silva,5' 9,155.0,5' 9,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,0,1,0,0,40.0
842,Claudio Silva,5' 11,170.0,5' 11,3.14,0.42,3.12,0.43,3.01,0.28,0.66,1.6,0,0,1,0,43.0
843,Antonio Silva,6' 4,264.0,6' 4,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,0,1,0,0,46.0
844,Erick Silva,6' 0,170.0,6' 0,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4,0,1,0,0,41.0
845,Joaquim Silva,5' 8,155.0,5' 8,3.92,0.37,4.43,0.56,0.24,0.5,0.64,0.7,0,0,1,0,37.0
846,Gabriel Silva,5' 6,135.0,5' 6,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5,0,1,0,0,31.0
847,Elias Silverio,5' 11,155.0,5' 11,3.67,0.49,2.97,0.51,1.62,0.38,0.85,0.2,0,1,0,0,39.0
848,Aaron Simpson,6' 0,170.0,6' 0,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,0,1,0,0,51.0
849,Ricky Simon,5' 6,135.0,5' 6,3.08,0.42,3.13,0.64,6.93,0.54,0.72,0.4,0,1,0,0,33.0
850,Tony Sims,5' 11,155.0,5' 11,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,0,0,1,0,40.0
851,Rory Singer,6' 2,185.0,6' 2,2.55,0.39,2.42,0.63,0.39,0.25,0.64,0.8,0,1,0,0,49.0
852,Dennis Siver,5' 6,145.0,5' 6,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,0,1,0,0,47.0
853,Chas Skelly,5' 11,145.0,5' 11,2.02,0.4,3.35,0.48,1.71,0.34,0.33,2.4,0,1,0,0,40.0
854,Scott Smith,6' 0,185.0,6' 0,1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5,0,1,0,0,46.0
855,Trevor Smith,6' 3,185.0,6' 3,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,0,1,0,0,45.0
856,Anthony Smith,6' 4,205.0,6' 4,2.94,0.46,4.38,0.42,0.49,0.28,0.51,0.7,0,1,0,0,37.0
857,Colton Smith,6' 0,155.0,6' 0,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4,0,1,0,0,38.0
858,Devonte Smith,5' 9,155.0,5' 9,5.64,0.55,2.65,0.59,0.74,1.0,1.0,0.7,0,1,0,0,32.0
859,Cole Smith,5' 11,135.0,5' 11,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7,0,1,0,0,36.0
860,Louis Smolka,5' 9,135.0,5' 9,4.44,0.46,3.74,0.53,1.84,0.37,0.31,1.9,0,1,0,0,34.0
861,Renato Sobral,6' 1,205.0,6' 1,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,0,1,0,0,50.0
862,Peter Sobotta,6' 0,170.0,6' 0,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5,0,0,1,0,39.0
863,Rameau Thierry Sokoudjou,5' 10,205.0,5' 10,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,0,1,0,0,41.0
864,Joe Solecki,5' 9,155.0,5' 9,3.62,0.74,0.93,0.51,3.31,0.62,0.0,1.3,0,1,0,0,32.0
865,Chael Sonnen,6' 1,205.0,6' 1,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,0,0,1,0,49.0
866,Song Yadong,5' 8,145.0,5' 8,4.35,0.42,3.64,0.57,0.59,0.75,0.56,0.4,0,1,0,0,28.0
867,Dmitry Sosnovskiy,6' 3,240.0,6' 3,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2,0,1,0,0,36.0
868,Greg Soto,5' 11,170.0,5' 11,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1.0,0,1,0,0,39.0
869,George Sotiropoulos,5' 10,155.0,5' 10,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6,0,1,0,0,48.0
870,Krzysztof Soszynski,6' 1,205.0,6' 1,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0,1,0,0,0,48.0
871,Joe Soto,5' 6,135.0,5' 6,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9,0,1,0,0,39.0
872,Andre Soukhamthath,5' 9,135.0,5' 9,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2,0,1,0,0,37.0
873,Livinha Souza,5' 3,115.0,5' 3,2.06,0.45,3.38,0.62,2.4,0.44,0.4,1.2,0,1,0,0,35.0
874,Jacare Souza,6' 1,185.0,6' 1,2.53,0.46,2.85,0.62,2.55,0.39,0.6,1.4,0,1,0,0,46.0
875,Ryan Spann,6' 5,205.0,6' 5,3.55,0.45,3.45,0.47,1.72,0.41,0.6,1.7,0,1,0,0,34.0
876,Felicia Spencer,5' 6,145.0,5' 6,3.02,0.45,5.57,0.43,0.64,0.1,0.14,0.3,0,1,0,0,35.0
877,Eric Spicely,6' 1,185.0,6' 1,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0,0,1,0,0,39.0
878,Serghei Spivac,6' 3,260.0,6' 3,3.58,0.49,2.84,0.58,3.7,0.63,0.75,0.3,0,1,0,0,31.0
879,Austin Springer,5' 8,145.0,5' 8,3.54,0.57,3.15,0.41,3.37,0.4,1.0,0.8,0,1,0,0,38.0
880,Georges St-Pierre,5' 11,185.0,5' 11,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,0,1,0,0,44.0
881,Brian Stann,6' 1,205.0,6' 1,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3,0,1,0,0,45.0
882,Kalib Starnes,6' 3,185.0,6' 3,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,0,1,0,0,51.0
883,Damian Stasiak,5' 5,135.0,5' 5,1.86,0.36,3.1,0.52,2.64,0.35,0.43,0.6,0,1,0,0,36.0
884,Aljamain Sterling,5' 7,135.0,5' 7,4.84,0.49,2.2,0.63,1.77,0.24,0.41,0.9,0,1,0,0,36.0
885,Jeremy Stephens,5' 9,145.0,5' 9,3.18,0.4,3.06,0.58,1.16,0.38,0.65,0.4,0,1,0,0,39.0
886,Joe Stevenson,5' 7,145.0,5' 7,2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2,0,1,0,0,43.0
887,Darren Stewart,6' 0,185.0,6' 0,3.09,0.44,3.09,0.5,1.5,0.4,0.65,0.1,0,1,0,0,35.0
888,Dustin Stoltzfus,6' 0,185.0,6' 0,2.48,0.57,3.93,0.48,0.78,0.12,0.62,0.8,0,1,0,0,34.0
889,Ken Stone,5' 8,135.0,5' 8,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6,0,0,1,0,43.0
890,Rick Story,5' 9,170.0,5' 9,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9,0,0,1,0,41.0
891,Sam Stout,5' 9,155.0,5' 9,4.17,0.28,4.08,0.57,0.63,0.38,0.77,0.1,0,1,0,0,41.0
892,Daniel Straus,5' 7,145.0,5' 7,4.76,0.43,2.99,0.57,0.84,0.15,0.81,1.1,0,0,0,0,41.0
893,Sean Strickland,6' 1,185.0,6' 1,5.09,0.38,3.77,0.66,1.26,0.6,0.81,0.4,0,1,0,0,35.0
894,Stefan Struve,6' 11,265.0,6' 11,3.12,0.47,4.04,0.46,0.56,0.46,0.55,1.7,0,1,0,0,38.0
895,Tatiana Suarez,5' 5,115.0,5' 5,4.82,0.65,1.45,0.48,6.47,0.62,1.0,0.6,0,0,1,0,35.0
896,George Sullivan,6' 0,170.0,6' 0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,0,1,0,0,45.0
897,Cub Swanson,5' 8,145.0,5' 8,4.64,0.5,3.64,0.6,1.09,0.51,0.6,0.5,0,1,0,0,42.0
898,Kevin Syler,5' 9,155.0,5' 9,5.6,0.69,4.03,0.48,1.0,0.4,0.77,2.0,0,0,0,1,32.0
899,Mike Swick,6' 1,170.0,6' 1,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,0,1,0,0,46.0
900,Tim Sylvia,6' 8,265.0,6' 8,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,0,1,0,0,50.0
901,Michinori Tanaka,5' 5,135.0,5' 5,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2,0,1,0,0,35.0
902,Evan Tanner,6' 0,185.0,6' 0,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3,0,1,0,0,55.0
903,Deividas Taurosevicius,5' 9,145.0,5' 9,2.13,0.43,1.82,0.59,2.0,0.28,0.5,0.3,0,0,1,0,48.0
904,Manny Tapia,5' 5,135.0,5' 5,2.69,0.21,4.74,0.58,0.49,0.4,0.66,0.2,0,1,0,0,45.0
905,Miesha Tate,5' 6,135.0,5' 6,1.93,0.41,2.71,0.5,2.06,0.31,0.52,1.6,0,1,0,0,39.0
906,Thiago Tavares,5' 7,145.0,5' 7,2.0,0.4,2.31,0.62,3.83,0.42,0.62,1.5,0,1,0,0,41.0
907,Paul Taylor,6' 0,155.0,6' 0,4.44,0.47,4.47,0.55,0.27,0.25,0.56,0.5,0,1,0,0,46.0
908,Jesse Taylor,6' 0,170.0,6' 0,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1,0,1,0,0,43.0
909,Danielle Taylor,5' 0,115.0,5' 0,2.75,0.29,3.31,0.71,0.2,0.2,0.7,0.2,0,1,0,0,36.0
910,James Te Huna,6' 2,185.0,6' 2,4.04,0.51,2.99,0.62,2.75,0.37,0.58,0.2,0,1,0,0,44.0
911,Glover Teixeira,6' 2,205.0,6' 2,3.75,0.47,3.84,0.54,2.04,0.4,0.6,1.0,0,1,0,0,46.0
912,Daniel Teymur,5' 5,145.0,5' 5,3.08,0.46,3.93,0.56,0.56,0.18,0.6,0.3,0,1,0,0,38.0
913,Brandon Thatch,6' 2,170.0,6' 2,2.7,0.42,3.63,0.52,1.36,0.66,0.5,0.7,0,0,0,1,40.0
914,Paulo Thiago,5' 11,170.0,5' 11,1.71,0.39,1.99,0.63,1.42,0.31,0.63,1.2,0,1,0,0,45.0
915,Nick Thompson,6' 1,170.0,6' 1,1.87,0.42,1.8,0.49,1.06,1.0,0.35,2.6,0,1,0,0,44.0
916,Josh Thomson,5' 10,155.0,5' 10,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,0,1,0,0,47.0
917,Simeon Thoresen,6' 1,170.0,6' 1,3.85,0.43,3.85,0.64,1.12,0.4,0.5,1.7,0,1,0,0,42.0
