,Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age,Female
237,237,Leon Edwards,74,170.0,74,2.56,0.47,2.03,0.55,1.35,0.3,0.7,0.4,0,0,1,0,34.0,0
238,238,Yves Edwards,69,155.0,69,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7,0,0,1,0,49.0,0
239,239,Per Eklund,70,155.0,70,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6,0,1,0,0,,0
240,240,Jake Ellenberger,69,170.0,69,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,0,1,0,0,41.0,0
241,241,Darren Elkins,70,145.0,70,3.5,0.38,3.08,0.52,2.7,0.33,0.58,1.2,0,1,0,0,41.0,0
242,242,Joe Ellenberger,69,155.0,69,1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1,0,1,0,0,41.0,0
243,243,Tim Elliott,67,125.0,67,3.35,0.45,2.49,0.59,4.01,0.49,0.58,1.1,0,0,1,0,39.0,0
244,244,Rob Emerson,69,155.0,69,2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4,0,1,0,0,44.0,0
245,245,Ramazan Emeev,70,170.0,70,2.5,0.45,1.98,0.66,2.33,0.29,0.66,0.5,0,0,1,0,38.0,0
246,246,Josh Emmett,66,145.0,66,4.32,0.39,4.02,0.63,1.43,0.47,0.5,0.1,0,1,0,0,41.0,0
247,247,Fedor Emelianenko,72,230.0,72,3.18,0.51,1.0,0.63,2.0,0.63,0.82,1.9,0,1,0,0,49.0,0
248,248,Julian Erosa,73,145.0,73,5.07,0.47,5.72,0.5,1.32,0.54,0.58,0.9,0,0,1,0,36.0,0
249,249,Efrain Escudero,69,155.0,69,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8,0,1,0,0,40.0,0
250,250,Carla Esparza,61,115.0,61,2.29,0.42,2.85,0.53,3.44,0.35,0.48,0.3,0,1,0,0,38.0,1
251,251,Juan Espino,75,250.0,75,4.32,0.8,0.54,0.42,14.19,0.77,0.0,6.1,0,0,0,0,45.0,0
252,252,Jordan Espinosa,66,125.0,66,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,0,1,0,0,36.0,0
253,253,Terry Etim,73,155.0,73,2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4,0,1,0,0,40.0,0
254,254,Sijara Eubanks,64,135.0,64,4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4,0,1,0,0,40.0,1
255,255,Billy Evangelista,68,155.0,68,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2,0,1,0,0,45.0,0
256,256,Tonya Evinger,67,135.0,67,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9,0,1,0,0,44.0,1
257,257,Andre Ewell,68,135.0,68,4.42,0.41,4.25,0.52,0.29,0.66,0.7,0.1,0,0,1,0,38.0,0
258,258,Jessica Eye,66,125.0,66,3.76,0.37,4.01,0.55,0.45,0.4,0.57,0.5,0,1,0,0,39.0,1
259,259,Wagnney Fabiano,66,145.0,66,1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4,0,0,1,0,50.0,0
260,260,Urijah Faber,66,135.0,66,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,0,1,0,0,46.0,0
261,261,Paul Felder,71,155.0,71,3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2,0,1,0,0,41.0,0
262,262,Kevin Ferguson,74,235.0,74,2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2,0,1,0,0,52.0,0
263,263,Tony Ferguson,71,155.0,71,5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1,0,1,0,0,42.0,0
264,264,Cezar Ferreira,73,185.0,73,1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5,0,0,1,0,41.0,0
265,265,Diego Ferreira,69,155.0,69,4.85,0.37,3.26,0.58,0.89,0.26,0.68,0.9,0,1,0,0,41.0,0
266,266,Drew Fickett,70,155.0,70,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2,0,1,0,0,46.0,0
